name,funding_total_usd,status,country_code,funding_rounds,Industry_Group,time_between_first_last_funding,days_in_business
24x7 Learning,4000000,operating,Other,1,Education,0,5476
250ok,200000,operating,USA,1,Software,0,1459
25eight,25000,closed,Other,1,Software,0,2164
265 Network,2000000,operating,Other,1,Software,0,4381
27 Perry,118000,closed,USA,1,Commerce and Shopping,0,1253
280 North,250000,acquired,Other,2,Software,60,2920
28msec,5844811,operating,USA,1,Software,0,2920
2C2P,3000000,operating,Other,3,Software,1249,4746
2can,7000000,operating,Other,2,Mobile,576,1357
2Catalyze,6785876,operating,Other,1,Software,0,2920
2Checkout,60000000,operating,USA,1,Commerce and Shopping,0,532
2CRisk,383000,operating,Other,2,Software,923,2008
2d2c,2941000,operating,USA,3,Software,651,2458
2degreesmobile,165000000,operating,Other,1,Mobile,0,2554
2DHeat,474116,operating,Other,4,Information Technology,0,432
2DOLife.com,250000,operating,USA,1,Software,0,1490
2GO Mobile Solutions,275000,operating,USA,1,Software,0,2920
2houses,966728,operating,Other,2,Internet Services,459,1704
"2nd Story Software, Inc.",85000000,acquired,USA,1,Software,0,6527
2nd Watch,37644420,operating,USA,4,Administrative Services,1043,2189
2NGageU,58000,operating,USA,1,Community and Lifestyle,0,1465
2Nite2Nite.net,6000,operating,USA,1,Advertising,0,838
2sms,939000,operating,USA,1,Information Technology,0,2981
2threads,300000,operating,Other,2,Media and Entertainment,305,4260
2U,95875000,operating,USA,6,Software,1671,2920
2Vancouver,80000,operating,Other,1,Navigation and Mapping,0,1435
3-V Biosciences,78089000,operating,USA,4,Biotechnology,1442,3226
30 Second Showcase,25000,operating,USA,1,Content and Publishing,0,1003
312 Capital,500000,operating,USA,1,Financial Services,0,1071
31Dover,2274716,operating,Other,1,Food and Beverage,0,1277
33Across,25654560,operating,USA,5,Advertising,1259,3042
"360fly, Inc.",17800000,operating,USA,1,Consumer Electronics,0,6572
360Guanxi,5000000,operating,Other,1,Biotechnology,0,5842
360imaging,1000000,operating,USA,2,Biotechnology,427,4015
360incentives.com,7650000,operating,Other,1,Software,0,2920
360Learning,1543920,operating,Other,1,Education,0,2189
360pi,4100000,operating,Other,2,Software,485,3104
360SHOP,1623640,operating,Other,1,Software,0,1034
365 Data Centers,16000000,operating,USA,1,Professional Services,0,1459
365looks,73047,operating,Other,2,Clothing and Apparel,213,1479
365net,2203975,operating,Other,1,Mobile,0,3650
365Scores,6700000,operating,Other,2,Sports,609,2920
36Kr,1573976,operating,Other,2,Community and Lifestyle,457,6207
37coins,25000,operating,USA,1,Software,0,728
37mhealth,1629549,operating,Other,1,Mobile,0,1093
382 Communications,1600000,operating,USA,1,Mobile,0,2189
39 Health,3750000,operating,Other,2,Health Care,365,3591
3BaysOver,1719583,operating,Other,2,Travel and Tourism,1074,1612
3C Plus,75000,operating,Other,1,Software,0,1084
3CI,133620,operating,Other,1,Biotechnology,0,2920
3ClickEMR Corporation,500000,closed,USA,2,Health Care,343,2016
3CLogic,5740000,operating,USA,2,Professional Services,414,4015
3D Biomatrix,1465000,operating,USA,1,Biotechnology,0,2189
3D Control Systems,28000,operating,USA,1,Software,0,1034
3D FUTURE VISION II,503000,closed,USA,2,Gaming,638,1824
3D Hubs,4500000,operating,Other,2,Content and Publishing,371,1003
3D Industri.es,1200000,operating,USA,2,Hardware,365,1824
3D Product Imaging,240000,operating,Other,2,Software,134,1093
3D Robotics,35000000,operating,USA,3,Consumer Electronics,680,2554
3D Sports Technology,909940,operating,USA,3,Software,916,2189
3d Vision Systems,150000,operating,USA,1,Software,0,2554
3DBin,400000,operating,USA,1,Commerce and Shopping,0,2518
3dCart Shopping Cart Software,1250000,operating,USA,1,Commerce and Shopping,0,6817
3DiVi Company,2670000,operating,Other,2,Software,639,1734
3DLT.com,530000,operating,USA,1,Commerce and Shopping,0,495
3DMGAME,732064,operating,Other,1,Media and Entertainment,0,5476
3dplusme,200000,operating,USA,1,Content and Publishing,0,633
3DR Laboratories,7436500,operating,USA,2,Biotechnology,1182,2406
3DSoC,2065000,operating,Other,2,Mobile,974,3499
3DVista,475000,operating,Other,1,Internet Services,0,2766
3FLOZ,750000,operating,USA,1,Health Care,0,2250
3G Multimedia,1700000,operating,Other,2,Mobile,547,2297
3Guppies,20000000,operating,USA,1,Media and Entertainment,0,4746
3GV8 International Inc,746185,operating,Other,2,Mobile,337,3834
3i Systems,13708150,closed,Other,3,Advertising,924,3346
3Jam,4000000,operating,USA,1,Information Technology,0,4015
3Leaf,65000000,acquired,USA,3,Internet Services,1360,4229
3LM,1500000,acquired,Other,1,Software,0,2008
3Nod,5300000,operating,Other,1,Software,0,3285
3P Biopharmaceuticals,4783500,operating,Other,2,Biotechnology,221,3106
3Pillar Global,25920000,operating,USA,4,Software,1224,3438
3Play Media,1011601,operating,USA,3,Software,620,3285
3point5.com,1500000,operating,USA,1,Internet Services,0,3369
3POWER ENERGY GROUP,50000000,operating,Other,1,Information Technology,0,1755
3rd Planet,1500000,operating,Other,2,Internet Services,446,2047
3rdKind,1000000,operating,Other,1,Gaming,0,519
3ROAM,1394250,operating,Other,1,Mobile,0,4015
3scale,5000000,operating,Other,2,Software,1100,2951
3Scan,390000,operating,USA,3,Biotechnology,685,1824
3seventy,2000000,operating,USA,1,Software,0,2920
3SP Group,13780000,operating,Other,1,Manufacturing,0,2415
3sun,15152514,operating,Other,1,Information Technology,0,3285
3TEN8,1000000,operating,USA,1,Software,0,867
3TIER,15000000,acquired,USA,3,Information Technology,904,6207
3Touch,272000,closed,Other,1,Software,0,4746
3V Transaction Services,25500000,operating,Other,1,Commerce and Shopping,0,4381
3VR,56567194,operating,USA,6,Privacy and Security,2817,5111
3X Systems,3393925,operating,USA,2,Hardware,826,2981
3yy game platform,163934,operating,Other,1,Media and Entertainment,0,759
4 the stars,1000,operating,Other,1,Community and Lifestyle,0,901
4-Tell,2234979,operating,USA,5,Commerce and Shopping,756,2464
404 Found!,6246800,operating,Other,2,Software,366,6937
405Labs,81000,operating,USA,1,Software,0,728
40billion.com,1050000,operating,USA,3,Community and Lifestyle,791,2898
410 Labs,750000,operating,USA,1,Information Technology,0,2189
41st Parameter,38064570,acquired,USA,4,Privacy and Security,2165,4381
42,800000,operating,USA,2,Software,449,1093
422 Group,1000000,operating,USA,1,Software,0,4381
42Floors,17400000,operating,USA,4,Real Estate,518,1824
42Networks,2258720,acquired,Other,1,Internet Services,0,3607
46elks,485610,operating,Other,2,Mobile,769,1223
480 Biomedical,37956999,operating,USA,3,Biotechnology,423,1824
490 Entertainment,450000,operating,USA,1,Gaming,0,9009
4:33 Creative Lab,100000000,operating,Other,1,Gaming,0,412
4Cable TV,20900,operating,USA,1,Information Technology,0,4015
4D Energetics,1160000,operating,USA,2,Information Technology,535,1215
4DK Technologies,3378975,operating,USA,1,Mobile,0,4015
4Home,9416354,acquired,USA,6,Software,1282,3650
4INFO,70288000,operating,USA,8,Advertising,3440,4381
4Less,1000000,operating,Other,1,Commerce and Shopping,0,1399
4meee,500000,operating,Other,1,Commerce and Shopping,0,504
4moms,60000000,operating,USA,4,Software,3372,4015
4s91.com,10000000,operating,Other,1,Mobile,0,1765
4Soils,50000,operating,USA,1,Community and Lifestyle,0,1459
4Tech,7000000,operating,USA,1,Biotechnology,0,1824
4th aspect,1121081,operating,Other,4,Advertising,889,2121
4vets,762500,operating,Other,1,Community and Lifestyle,0,881
5 CUPS and some sugar,385980,operating,Other,1,Internet Services,0,1459
5 examples,250000,operating,USA,1,Software,0,4381
5 Million Shoppers,15000,operating,USA,1,Mobile,0,510
5 Minutes,3500000,operating,Other,1,Gaming,0,2200
5 O'Clock Records,440000,operating,USA,2,Software,285,1459
5 Screens Media,80000,operating,Other,2,Professional Services,53,793
5 Star Mobile,180000,operating,USA,1,Consumer Electronics,0,890
500Friends,12900000,acquired,USA,6,Commerce and Shopping,1183,2189
500px,9325000,operating,Other,2,Content and Publishing,796,2281
500Shops,5000,operating,Other,1,Commerce and Shopping,0,759
51 Auto,4500000,closed,Other,1,Transportation,0,2768
51.com,27000000,operating,Other,3,Software,426,4015
5151tuan,2928257,operating,Other,1,Real Estate,0,2554
5173.com,9300000,operating,Other,3,Commerce and Shopping,1370,4807
51aiya.com,389673,operating,Other,1,Health Care,0,1459
51credit.com,10000000,operating,Other,2,Financial Services,546,3650
51edj,1158814,operating,Other,2,Commerce and Shopping,275,1399
51fanli,20000000,operating,Other,2,Commerce and Shopping,1071,3650
51hejia.com,10000000,operating,Other,1,Internet Services,0,3079
51Talk,65100000,operating,Other,4,Education,1057,1824
51wan,1500000,operating,Other,2,Gaming,852,3073
5211game,1000000,operating,Other,1,Gaming,0,2220
55social,3000000,operating,Other,1,Software,0,1630
55tuan.com,200000000,operating,Other,2,Commerce and Shopping,212,2116
56.com,30000000,acquired,Other,2,Content and Publishing,183,3925
58.com,876780000,operating,Other,6,Software,3068,4015
591wed,10000000,operating,Other,1,Internet Services,0,757
5app,5100000,operating,Other,1,Design,0,1824
5BARz International,6100000,operating,USA,2,Information Technology,370,2920
5gig,368750,operating,Other,1,Software,0,2951
5k Fans,8000000,operating,USA,1,Software,0,2394
5min Media,12800000,acquired,USA,3,Media and Entertainment,844,3285
5minutes,15873,operating,Other,1,Community and Lifestyle,0,1747
5o9,50000,operating,USA,1,Software,0,3650
5Rocks,3987693,acquired,Other,2,Gaming,1098,925
5skills,30000,operating,Other,1,Community and Lifestyle,0,1093
5th Avenue Media,250000,operating,USA,1,Administrative Services,0,1274
5th Finger,7000000,operating,USA,1,Mobile,0,2920
5th Planet Games,3000000,operating,USA,1,Gaming,0,2554
5to1,17129760,acquired,USA,4,Data and Analytics,511,2554
60mo,1300000,acquired,Other,3,Financial Services,569,2403
64 Pixels,100000,operating,USA,1,Internet Services,0,1916
640 Labs,3050000,operating,USA,3,Software,122,1093
6connect,2000000,operating,USA,1,Internet Services,0,2554
6fusion,25250000,operating,USA,5,Software,1479,2920
6renyou.com,1000000,operating,Other,2,Mobile,212,942
6Rooms,30500000,operating,Other,3,Content and Publishing,1887,3346
6Sense,12000000,operating,USA,2,Software,396,1093
6sicuro.it,3134880,operating,Other,1,Financial Services,0,1386
6th Sense Analytics,6700000,acquired,USA,2,Software,446,4381
6Waves,52588928,operating,Other,2,Gaming,560,2768
6Wunderkinder,23857750,operating,Other,5,Software,1057,1946
7 Billion People,6528902,closed,USA,3,Commerce and Shopping,1250,3650
7 Oaks Pharmaceutical,1613014,operating,USA,1,Biotechnology,0,6937
7 Star Entertainment,10000000,operating,USA,1,Gaming,0,1995
7-bites,295000,operating,Other,1,Software,0,916
71lbs,2450000,operating,USA,5,Other,810,1763
720°,190035,operating,Other,1,Software,0,1459
72798.com,3107198,operating,Other,1,Commerce and Shopping,0,1671
77 Pieces,650000,closed,Other,1,Internet Services,0,2045
79 Group,1500000,operating,USA,1,Manufacturing,0,1368
7AC Technologies,11110000,operating,USA,5,Information Technology,1071,2554
7billionideas,47566,operating,Other,1,Community and Lifestyle,0,1824
7digital,20100000,acquired,Other,4,Media and Entertainment,3007,4381
7k7k.com,1136548,operating,Other,1,Gaming,0,4746
7mb Technologies,460775,operating,USA,2,Software,266,1093
7Road,3989751,operating,Other,3,Gaming,610,2920
7signal Solutions,9850000,operating,USA,4,Internet Services,1018,3650
7Summits,600000,operating,USA,2,Internet Services,1448,2464
7write,269260,operating,Other,2,Content and Publishing,84,1034
8 Securities,18500000,operating,Other,3,Financial Services,941,1318
80/20 Solutions,2100000,closed,Other,1,Community and Lifestyle,0,2336
800APP,34000000,operating,Other,3,Internet Services,1359,4207
800razors,100000,operating,USA,1,Commerce and Shopping,0,1459
80th Street Residence FACC Fund I,5100000,operating,USA,1,Health Care,0,1824
818 Sports & Entertainment,27000000,operating,USA,2,Media and Entertainment,76,1459
8bit,140000,operating,Other,2,Advertising,150,1062
8D World,12250000,closed,USA,2,Software,1013,2860
8fit - Fitness for the rest of us,200000,operating,Other,1,Other,0,669
8hands,1500000,closed,Other,2,Sales and Marketing,0,2920
8minutenergy Renewables,30000000,operating,USA,1,Information Technology,0,561
8packs,79501,operating,Other,2,Information Technology,184,696
8thBridge,15590000,acquired,USA,3,Commerce and Shopping,490,2615
8tracks Radio,2779980,operating,USA,2,Media and Entertainment,671,2700
8Trip,24600000,operating,Other,1,Travel and Tourism,0,1824
8villages,150000,operating,Other,1,Mobile,0,1673
9+,4500000,operating,USA,2,Professional Services,54,1093
908 Devices,17700000,operating,USA,3,Manufacturing,734,1459
90min,23800000,operating,Other,2,Content and Publishing,323,1824
90sec Technologies,100000,operating,Other,1,Media and Entertainment,0,913
91 Boyuan Wireles,20000000,operating,Other,1,Mobile,0,1490
91 Golf,317460,operating,Other,1,Mobile,0,1459
91 Wireless,30000000,acquired,Other,1,Mobile,0,1946
9158 Julur.com,4502251,operating,Other,1,Community and Lifestyle,0,1855
91datong.com,63590263,operating,Other,1,Financial Services,0,1765
91JinRong,19790000,operating,Other,3,Financial Services,989,1551
91Mobiles,1000000,operating,Other,1,Mobile,0,2189
99.co,560000,operating,Other,1,Sales and Marketing,0,603
99Bill,81574271,operating,Other,4,Financial Services,2424,4015
99designs,35000000,operating,USA,1,Design,0,2889
99dresses,105651,operating,Other,2,Clothing and Apparel,63,2189
99inn.cc,75000000,operating,Other,1,Transportation,0,1246
99Presents,20000,operating,Other,1,Commerce and Shopping,0,1380
99taojin.com,7575757,operating,Other,1,Manufacturing,0,2554
99tests,210000,operating,Other,3,Software,964,1780
9car Technology LLC,80000,closed,Other,2,Transportation,49,2233
9DIAMOND,9600000,operating,Other,2,Commerce and Shopping,1095,3956
9facts,70000,closed,Other,1,Internet Services,0,1704
9Flava,1432051,operating,Other,3,Advertising,334,1551
9GAG,2800000,operating,Other,2,Community and Lifestyle,440,2920
9Lenses,4100000,operating,USA,2,Software,47,1824
9Mile Labs,900000,operating,USA,1,Software,0,1093
9sky.com,10000000,operating,Other,2,Content and Publishing,519,6207
9SLIDES,925000,operating,USA,2,Software,126,2038
9Star Research,435400,operating,USA,1,Software,0,5111
9You,100000000,operating,Other,1,Gaming,0,2841
@Pay,3500000,operating,USA,1,Software,0,1704
A,450000,operating,Other,1,Privacy and Security,0,1093
A Crowd of Monsters,560248,operating,Other,1,Gaming,0,394
A Curated World,50000,operating,USA,1,Commerce and Shopping,0,1368
A Family First Community Services,500000,operating,USA,1,Health Care,0,2920
A la Mobile,7550000,operating,USA,2,Mobile,608,3864
A LITTLE WORLD,6410000,operating,Other,1,Financial Services,0,5781
A Smarter City,15000,closed,Other,1,Software,0,1761
A vida é feita de Desconto,2500,operating,Other,1,Commerce and Shopping,0,1158
A&A Manufacturing,110000000,operating,USA,1,Natural Resources,0,488
A&G Pharmaceutical,2100002,operating,USA,2,Biotechnology,1692,3765
A's Child,43138,operating,Other,1,Platforms,0,811
A-Gas,115837966,operating,Other,1,Information Technology,0,1714
A-Life Medical,3000000,acquired,USA,1,Biotechnology,0,2401
A-Vu Media,250000,operating,USA,1,Health Care,0,1759
A.P Avanashiappa Silk,96932,operating,Other,2,Commerce and Shopping,690,1932
A.P.Pharma,32142818,operating,USA,2,Biotechnology,613,2246
A1 Software Group,20000,operating,USA,1,Software,0,1123
A10 Networks,118000000,operating,USA,4,Hardware,3197,4107
A123 Systems,502860000,operating,USA,8,Consumer Goods,2410,5476
A2Zlogix,25000000,operating,USA,1,Advertising,0,538
A8 Digital Music,50000000,operating,Other,2,Media and Entertainment,433,5842
AA Carpooling Website,1623640,operating,Other,2,Internet Services,214,1034
AA Party,16474,operating,Other,1,Mobile,0,697
AAMPP,350000,operating,USA,1,Media and Entertainment,0,5691
Aarden Pharmaceuticals,500000,closed,USA,1,Biotechnology,0,2920
Aardvark,6000000,acquired,USA,2,Internet Services,639,3104
Aasonn,20000000,operating,USA,1,Administrative Services,0,3650
aaTag,151022,operating,Other,2,Community and Lifestyle,124,2038
Aava Mobile,4260000,operating,Other,1,Mobile,0,2554
AB Microfinance Bank Nigeria,4900000,operating,Other,1,Financial Services,0,679
AB Tasty,1412834,operating,Other,1,Other,0,1824
ABA English,3356695,operating,Other,1,Education,0,3285
Abacast,500000,acquired,USA,1,Other,0,5750
Abacus Labs,3500000,operating,USA,1,Software,0,1093
Abakan,4211031,operating,USA,6,Information Technology,881,3650
Abakus,825000,operating,USA,1,Advertising,0,1093
Abattis Bioceuticals,400988,operating,Other,3,Biotechnology,1251,1824
Abaxia,1770000,acquired,Other,1,Software,0,5476
abaXX Technology,4540000,operating,Other,1,Software,0,6207
Abazab,4400000,operating,USA,2,Internet Services,1095,6937
Abbey Pharma,3355282,operating,Other,1,Consumer Electronics,0,2554
AbbeyPost,875000,operating,USA,5,Commerce and Shopping,346,1246
Abbott Labs,6790000,operating,USA,2,Health Care,729,9129
ABBYY Language Services,375000,operating,Other,1,Professional Services,0,4381
ABC Live,25000,closed,Other,1,Advertising,0,2947
Abcam,78799653,operating,Other,2,Events,324,6572
abcdexperts,147000,operating,Other,1,Community and Lifestyle,0,1977
AbCelex Technologies,2000000,operating,Other,1,Biotechnology,0,2189
Abcellute,805908,operating,Other,1,Biotechnology,0,5476
Abcodia,1622347,operating,Other,1,Biotechnology,0,1680
Abe's Market,19148000,operating,USA,5,Commerce and Shopping,1319,2311
Abeelo,90000,operating,Other,1,Clothing and Apparel,0,881
abeo,2012700,operating,USA,1,Health Care,0,1491
Abeona Therapeutics,4350000,operating,USA,2,Biotechnology,350,1093
AbGenomics,39610000,operating,USA,3,Biotechnology,799,5690
Abide Therapeutics,2250180,operating,USA,1,Biotechnology,0,1824
Abigail Stewart,60000,operating,USA,1,Clothing and Apparel,0,2175
Ability Dynamics,1500000,operating,USA,1,Health Care,0,2554
ABILITY Network,583000000,operating,USA,4,Health Care,2671,5842
AbilTo,9000000,operating,USA,2,Health Care,308,2920
Abine,6467283,operating,USA,1,Internet Services,0,2920
Abingdon Health,8140565,operating,Other,2,Health Care,942,2920
Abionic,3986362,operating,Other,1,Information Technology,0,2189
Abiquo,25560400,operating,Other,8,Software,1926,3650
Abiquo Group,14130737,operating,USA,4,Hardware,1189,2189
aBIZinaBOX,500000,operating,USA,1,Financial Services,0,6344
ABL Farms,150000,operating,USA,1,Data and Analytics,0,2303
Ablative Solutions,25930577,operating,USA,5,Biotechnology,762,1824
Able Device,50000,operating,USA,1,Information Technology,0,1220
Able Imaging,500000,operating,USA,1,Health Care,0,1759
Able Planet,12005448,operating,USA,5,Software,898,4015
AbleSky,1273000,operating,USA,1,Software,0,3285
Ablexis,12000000,operating,Other,1,Biotechnology,0,2554
Abloomy,3000000,operating,Other,1,Software,0,2707
Ablynx,98329011,operating,Other,3,Biotechnology,531,5476
ABODO,1595000,operating,Other,3,Internet Services,572,1822
Abound Solar,510000000,operating,USA,2,Energy,162,3285
about.me,17087500,operating,USA,3,Community and Lifestyle,1631,1058
AboutOne,4139407,operating,USA,5,Internet Services,1265,2038
AboutUs.org,7618249,operating,USA,3,Internet Services,232,3650
Above All Software,2100000,operating,USA,1,Software,0,5111
Above Security,2500000,operating,Other,1,Privacy and Security,0,6056
ABOVE Solutions,450000,operating,USA,1,Software,0,2738
ABPathfinder,960000,operating,USA,3,Health Care,715,2038
AbraResto,1500000,operating,Other,1,Community and Lifestyle,0,1459
Abril,422000000,operating,Other,1,Education,0,3522
Abroad101,50000,operating,USA,1,Education,0,3162
ABS,132500,operating,USA,1,Health Care,0,2554
Absio,2757346,operating,USA,3,Software,1013,2495
ABSMaterials,4250000,operating,USA,2,Information Technology,1249,2920
Absolicon Solar Concentrator,661000,operating,Other,1,Information Technology,0,3285
AbsolutData,20000000,operating,USA,1,Other,0,1224
Absolute Antibody,1287963,operating,Other,1,Health Care,0,632
Absolute Commerce,200000,operating,USA,1,Software,0,1459
Absorption Pharmaceuticals,1200000,operating,USA,1,Biotechnology,0,684
Absynth Biologics,1287963,operating,Other,1,Biotechnology,0,3285
ABT Molecular Imaging,28364818,operating,USA,10,Health Care,1644,3650
Abundance Generation,4545754,operating,Other,1,Financial Services,0,2554
abusix,1300000,operating,Other,1,Software,0,2281
Abzena,34300806,operating,Other,1,Biotechnology,0,5111
AC Immune SA,22009460,operating,Other,1,Biotechnology,0,4746
Acacia,15000,operating,USA,1,Software,0,1390
Acacia Communications,23000000,operating,USA,2,Internet Services,520,2554
Acacia Interactive,762000,operating,USA,1,Software,0,1459
Acacia Living,2338650,operating,USA,1,Health Care,0,2189
Acacia Pharma,33500000,operating,Other,2,Biotechnology,887,3650
Acacia Research,244600000,operating,USA,2,Financial Services,2567,8764
ACACIA Semiconductor,368000,operating,Other,1,Advertising,0,4746
Academia RFID,4499999,operating,Other,1,Professional Services,0,4015
Academia.edu,17800000,operating,USA,4,Community and Lifestyle,2155,2676
AcademixDirect,10000000,operating,USA,1,Advertising,0,4381
Academy of Inovation,50000,operating,Other,1,Community and Lifestyle,0,1783
ACADIA Pharmaceuticals,101385000,operating,USA,2,Health Care,722,1814
AcadiaSoft,4000000,operating,USA,1,Financial Services,0,2554
ACAL Energy,16424363,operating,Other,3,Information Technology,924,4168
Acamica,131568,operating,Other,2,Community and Lifestyle,92,1277
Acarix,4710960,operating,Other,1,Health Care,0,2554
ACB (India) Limited,25090000,operating,Other,1,Natural Resources,0,6937
ACCB Biotech Ltd.,770416,operating,Other,3,Biotechnology,1977,3681
Acccess Technology Solutions,25478613,operating,USA,1,Commerce and Shopping,0,5111
Accedian Networks,31040000,operating,Other,3,Mobile,1609,4381
Accedo,1270000,operating,Other,1,Media and Entertainment,0,4381
Accela,50000000,operating,USA,2,Software,654,6207
Accelalox,430000,operating,USA,1,Biotechnology,0,4015
Accelera,3033472,operating,Other,1,Information Technology,0,1428
Accelerate Diagnostics,63016244,operating,USA,4,Health Care,1504,4381
Accelerate Mobile Apps,150000,operating,USA,1,Mobile,0,2554
Accelerated IO,3255325,operating,USA,2,Software,874,6937
Accelerated Orthopedic Technologies,150000,closed,USA,1,Health Care,0,1321
Accelerated Vision Group,8500000,operating,USA,2,Other,522,1824
Accelereach,50000,operating,Other,1,Community and Lifestyle,0,2342
Accelerize New Media,4045500,operating,USA,3,Software,1437,4015
Acceleron Pharma,113701127,operating,USA,6,Biotechnology,1969,4381
AccelGolf,457282,closed,USA,7,Financial Services,703,2707
Accelitec,5705841,operating,USA,3,Software,1488,5476
Accellion,13410901,operating,USA,2,Software,65,6207
Accellos,28500000,operating,USA,2,Transportation,1477,3650
AccelOps,25000000,operating,USA,2,Software,1674,3285
Accendo Technologies,1560000,operating,Other,1,Software,0,5111
Accendo Therapeutics,4000000,operating,USA,1,Health Care,0,2189
Accent,20209960,operating,Other,2,Advertising,1548,3453
Accentia Biopharmaceuticals Inc,775000,operating,USA,2,Health Care,503,5111
